total_cells,ff_cells,logic_cells,mux_cells,buf_cells,wires,wire_bits,memory_bits,register_bits,clock_domains,approx_cc,nesting_depth,port_count,always_blocks,area_um2,power_uw,delay_ps,source
3,1,2,0,0,6,6,0,1,0,2,1,4,1,10.61,0.6816,73,assert_llm_openMSP430_omsp_clock_gate.v
11,4,5,0,2,16,16,0,4,4,5,1,6,4,54.95,3.2692,230,assert_llm_openMSP430_omsp_clock_mux.v
1,0,0,1,0,4,4,0,0,0,1,0,4,0,5.12,0.2972,92,assert_llm_openMSP430_omsp_scan_mux.v
2,2,0,0,0,5,6,0,2,1,2,1,4,1,35.12,2.0944,77,assert_llm_openMSP430_omsp_sync_cell.v
2,2,0,0,0,4,5,0,2,2,2,1,3,1,7.08,0.4944,76,assert_llm_openMSP430_omsp_sync_reset.v
203,64,135,0,4,138,262,0,64,2,9,2,7,4,837.6,44.2916,697,assert_llm_periph_template_periph_16b.v
103,32,67,0,4,77,218,0,32,2,9,2,7,4,408.3,22.2516,603,assert_llm_periph_template_periph_8b.v
27,0,24,1,2,5,68,0,32,0,5,0,3,1,115.08,5.9444,453,assert_llm_sha3_2_padder1.v
54,0,51,0,3,49,135,0,64,0,1,0,2,1,206.27,11.1688,480,assert_llm_sha3_2_rconst.v
7687,0,6087,0,1600,6165,14151,0,0,0,3,1,3,0,70509.2,2460.9264,1843,assert_llm_sha3_2_round.v
70,0,63,0,7,16,144,0,64,0,9,0,3,1,308.22,15.204,611,assert_llm_sha3_padder1.v
41,0,33,0,8,30,167,0,128,0,1,0,3,2,153.6,8.3852,499,assert_llm_sha3_rconst2in1.v
14094,0,11700,0,2394,12573,20622,0,0,0,5,1,4,0,130038.45,4469.8168,1779,assert_llm_sha3_round2in1.v
291,65,176,29,21,209,418,0,56,1,55,6,11,10,1865.25,85.3852,811,assert_llm_sockit_sockit_owm.v
7,0,6,0,1,18,147,0,0,0,1,0,15,0,29.77,1.5004,247,assert_llm_sockit_wishbone2bus.v
372,146,151,35,40,212,461,0,0,0,1,0,0,0,4820.65,216.1384,935,assert_llm_system_afifo.v
256,140,9,96,11,141,566,0,0,0,1,0,0,0,3650.47,158.8232,778,assert_llm_system_wb_ddr3_bridge.v
30,6,15,0,9,28,230,0,199,1,7,0,4,1,138.98,7.066,535,assert_llm_ting_pairing_const.v
254,125,105,8,16,135,312,0,139,1,53,4,9,9,1320.51,65.8588,894,assert_llm_ting_pairing_fsm.v
79854,13068,53694,13068,24,66860,80297,0,24,1,3,1,9,2,856611.36,29822.1688,2714,assert_llm_ting_pairing_ram.v
1911,26,1647,40,198,1867,1925,0,26,1,420,0,3,1,9239.51,419.0392,1369,assert_llm_ting_pairing_rom.v
3323,44,2700,246,333,3245,3748,0,16,1,513,0,6,0,17431.51,747.4256,1585,assert_llm_tiny_aes_table.v
185,17,129,15,24,159,215,0,17,1,5,2,5,2,1242.88,59.712,845,assert_llm_uart_baud_gen.v
420,86,235,40,59,324,460,0,102,1,131,6,14,20,2322.34,109.754,915,assert_llm_uart_uart_parser.v
62,28,26,0,8,42,66,0,28,1,15,3,6,6,283.21,15.4564,525,assert_llm_uart_uart_rx.v
61,19,24,7,11,38,73,0,19,1,15,3,7,5,281.32,14.7492,575,assert_llm_uart_uart_tx.v
6,3,1,2,0,16,16,0,0,0,1,0,0,0,56.67,3.1532,230,assert_llm_verilog_BiDirectionalCell.v
6,3,1,2,0,13,13,0,0,0,1,0,0,0,55.81,3.1532,227,assert_llm_verilog_ControlCell.v
4,2,1,1,0,9,9,0,0,0,1,0,0,0,45.21,2.6088,118,assert_llm_verilog_InputCell.v
6,3,1,2,0,15,15,0,0,0,1,0,0,0,56.4,3.1532,229,assert_llm_verilog_OutputCell.v
81,32,49,0,0,28,152,0,32,1,5,4,8,1,407.32,20.3732,620,assert_llm_verilog_adbg_crc32.v
122,107,9,0,6,42,321,0,111,3,25,3,15,9,698.2,35.1784,400,assert_llm_verilog_adbg_or1k_biu.v
228,68,147,1,12,164,249,0,76,1,29,3,8,10,969.89,50.6016,778,assert_llm_verilog_bytefifo.v
100,32,56,1,11,85,179,0,88,4,9,2,14,5,929.0,44.38,681,assert_llm_verilog_generic_fifo_ctrl.v
2,2,0,0,0,5,5,0,5,2,4,2,4,0,34.67,2.0944,76,assert_llm_verilog_meta_sync_single.v
542,29,353,38,122,499,661,0,9,1,1,0,8,1,3095.81,142.1124,1195,assert_llm_verilog_or1200_fpu_addsub.v
530,165,219,75,71,330,675,0,50,1,7,3,11,3,4762.01,209.396,1055,assert_llm_verilog_or1200_fpu_div.v
308,0,231,2,75,319,439,0,3,0,1,0,8,1,1358.32,65.8276,860,assert_llm_verilog_or1200_fpu_fcmp.v
99,18,77,0,4,110,230,0,24,1,1,0,15,24,700.55,34.0228,932,assert_llm_verilog_or1200_fpu_intfloat_conv_except.v
753,154,453,125,21,612,810,0,116,1,6,3,9,4,6758.19,295.2516,1185,assert_llm_verilog_or1200_fpu_mul.v
778,76,518,111,73,676,1085,0,43,1,5,2,10,4,5434.62,237.1216,1213,assert_llm_verilog_or1200_fpu_post_norm_addsub.v
913,237,513,102,61,635,1107,0,156,1,3,1,10,8,8797.27,379.0636,1223,assert_llm_verilog_or1200_fpu_post_norm_div.v
1685,63,1039,429,154,1594,1841,0,94,1,7,0,17,6,10846.63,455.202,1376,assert_llm_verilog_or1200_fpu_post_norm_intfloat_conv.v
1985,261,1154,377,193,1655,2174,0,166,1,8,3,9,7,15531.52,646.442,1389,assert_llm_verilog_or1200_fpu_post_norm_mul.v
620,78,294,171,77,497,870,0,46,1,5,0,6,4,4638.57,202.174,1206,assert_llm_verilog_or1200_fpu_pre_norm_addsub.v
693,36,444,126,87,623,1072,0,44,1,1,0,6,4,4292.25,187.5896,1242,assert_llm_verilog_or1200_fpu_pre_norm_div.v
86,10,72,0,4,75,259,0,8,1,1,0,6,1,600.86,28.4492,804,assert_llm_verilog_or1200_fpu_pre_norm_mul.v
312,128,68,101,15,198,330,0,8,1,2,1,6,1,4335.88,194.4664,750,assert_llm_verilog_raminfr.v
47,17,27,0,3,28,60,0,18,1,5,2,5,2,207.98,11.5084,436,assert_llm_verilog_sd_counter.v
20,16,3,0,1,9,24,0,16,1,3,2,5,1,85.82,5.144,167,assert_llm_verilog_sd_crc_16.v
9,7,2,0,0,7,13,0,7,1,3,2,5,1,39.56,2.4248,97,assert_llm_verilog_sd_crc_7.v
9,4,3,0,2,14,14,0,4,1,7,3,6,4,77.62,4.4948,223,assert_llm_verilog_syncflop.v
20,5,13,0,2,25,31,0,7,6,16,2,7,5,112.21,6.054,359,assert_llm_verilog_versatile_fifo_async_cmp.v
1,0,1,0,0,10,58,0,24,2,3,1,10,2,4.22,0.2472,91,assert_llm_verilog_versatile_fifo_dptam_dw.v
65,64,0,0,1,4,130,0,64,1,3,2,3,1,1401.65,67.168,74,rtllm_JC_counter_verified_JC_counter.v
5,4,1,0,0,4,7,0,4,1,2,1,3,1,77.25,4.536,93,rtllm_LFSR_verified_LFSR.v
97,25,61,4,7,77,105,0,13,1,6,5,8,1,412.94,22.2884,600,rtllm_LIFObuffer_verified_LIFObuffer.v
265,78,178,0,9,202,291,0,14,1,5,2,8,2,1738.14,84.618,734,rtllm_RAM_verified_RAM.v
1,0,0,0,1,2,24,0,32,0,1,0,2,1,1.94,0.1472,46,rtllm_ROM_verified_ROM.v
73,13,51,7,2,57,84,0,23,1,12,3,6,4,354.84,18.7756,551,rtllm_accu_verified_accu.v
122,0,122,0,0,178,325,0,0,0,1,0,5,0,569.72,28.7984,784,rtllm_adder_16bit_verified_adder_16bit.v
257,0,250,0,7,310,565,0,0,0,1,0,0,0,1301.88,61.8404,939,rtllm_adder_32bit_verified_adder_32bit.v
48,0,48,0,0,63,91,0,0,0,1,0,5,0,231.54,12.2656,595,rtllm_adder_8bit_verified_adder_8bit.v
29,0,26,1,2,32,48,0,0,0,1,0,5,0,134.95,7.3288,456,rtllm_adder_bcd_verified_adder_bcd.v
696,360,336,0,0,321,1105,0,184,1,12,2,7,7,9483.02,405.5712,1049,rtllm_adder_pipe_64bit_verified_adder_64bit.v
2035,0,1388,396,251,2013,2205,0,33,0,19,0,9,1,11352.72,478.762,1216,rtllm_alu_verified_alu.v
507,176,260,32,39,355,570,0,80,4,11,2,8,2,5934.35,264.0704,930,rtllm_asyn_fifo_verified_asyn_fifo.v
48,0,24,17,7,70,86,0,0,0,1,0,3,0,242.38,12.5056,578,rtllm_barrel_shifter_verified_barrel_shifter.v
76,18,46,1,11,48,78,0,18,1,9,3,5,3,441.57,22.8172,542,rtllm_calendar_verified_calendar.v
14,0,9,0,5,16,20,0,0,0,1,0,5,0,53.72,3.1108,317,rtllm_comparator_3bit_verified_comparator_3bit.v
20,0,10,1,9,23,29,0,0,0,1,0,5,0,82.78,4.604,421,rtllm_comparator_4bit_verified_comparator_4bit.v
12,4,4,2,2,12,15,0,4,1,4,3,4,1,49.14,2.9264,238,rtllm_counter_12_verified_counter_12.v
915,0,747,75,93,892,1059,0,96,0,2,1,4,2,5146.41,224.338,1060,rtllm_div_16bit_verified_div_16bit.v
5,3,0,0,2,8,8,0,3,1,5,3,5,2,60.96,3.576,73,rtllm_edge_detect_verified_edge_detect.v
554,0,381,33,140,526,650,0,8,0,7,4,3,1,2594.08,122.2888,1029,rtllm_fixed_point_adder_verified_fixed_point_adder.v
411,0,333,31,47,383,507,0,8,0,7,4,3,1,2187.06,99.9092,912,rtllm_fixed_point_substractor_verified_fixed_point_substractor.v
50,14,27,0,9,34,52,0,14,1,6,2,5,3,406.88,21.3,519,rtllm_freq_div_verified_freq_div.v
9,3,2,0,4,9,17,0,5,1,3,2,3,1,59.77,3.4848,212,rtllm_freq_divbyeven_verified_freq_divbyeven.v
23,6,14,0,3,19,25,0,6,1,9,3,3,3,174.56,9.5656,411,rtllm_freq_divbyfrac_verified_freq_divbyfrac.v
22,8,12,0,2,16,24,0,9,1,9,2,3,4,127.73,7.3884,330,rtllm_freq_divbyodd_verified_freq_divbyodd.v
20,6,8,3,3,17,23,0,7,1,16,2,4,3,124.24,7.014,303,rtllm_fsm_verified_fsm.v
18,16,0,0,2,11,46,0,19,1,4,3,7,1,74.62,4.3896,83,rtllm_instr_reg_verified_instr_reg.v
472,70,311,51,40,380,572,0,70,1,12,5,7,3,2477.98,114.2184,923,rtllm_multi_16bit_verified_multi_16bit.v
149,46,96,2,5,95,196,0,54,1,4,3,6,1,817.39,40.9928,676,rtllm_multi_booth_8bit_verified_booth4_mul.v
86,20,60,2,4,69,166,0,24,1,3,1,5,2,774.81,37.2892,687,rtllm_multi_pipe_4bit_verified_multi_pipe_4bit.v
458,92,346,4,16,329,711,0,60,1,7,2,7,5,4098.1,180.7076,938,rtllm_multi_pipe_8bit_verified_multi_pipe_8bit.v
15,7,2,4,2,12,23,0,7,1,3,2,5,1,172.42,9.358,253,rtllm_parallel2serial_verified_parallel2serial.v
3132,32,3094,1,5,3079,3358,0,32,1,2,1,5,1,19865.76,819.6704,1449,rtllm_pe_verified_pe.v
12,4,5,0,3,12,15,0,5,1,12,2,4,3,88.34,5.0864,226,rtllm_pulse_detect_verified_pulse_detect.v
213,33,151,21,8,186,298,0,47,1,5,4,9,2,1282.82,60.8236,793,rtllm_radix2_div_verified_radix2_div.v
8,8,0,0,0,3,10,0,8,1,1,0,3,1,131.22,7.5776,223,rtllm_right_shifter_verified_right_shifter.v
8,8,0,0,0,4,18,0,16,1,2,1,3,1,137.08,7.5776,84,rtllm_ring_counter_verified_ring_counter.v
17,5,8,0,4,17,21,0,10,1,9,1,4,2,123.27,6.9624,301,rtllm_sequence_detector_verified_sequence_detector.v
36,21,9,0,6,20,40,0,21,1,7,2,6,3,228.13,12.5392,339,rtllm_serial2parallel_verified_serial2parallel.v
43,7,29,2,5,36,45,0,7,1,6,2,3,1,199.82,10.9496,523,rtllm_signal_generator_verified_signal_generator.v
56,9,36,0,11,45,73,0,9,1,2,1,3,1,475.37,23.6032,526,rtllm_square_wave_verified_square_wave.v
338,0,251,1,86,277,466,0,65,0,2,1,4,1,1828.31,84.5436,962,rtllm_sub_64bit_verified_sub_64bit.v
65,64,0,0,1,4,130,0,64,1,3,2,3,1,1401.65,67.168,74,rtllm_t1_JC_counter.v
39,0,37,0,2,38,90,0,0,0,1,0,5,0,174.03,9.1708,587,rtllm_t1_adder_16bit.v
36,0,36,0,0,52,697,0,0,0,1,0,4,0,175.54,7.9392,620,rtllm_t1_adder_32bit.v
1073,387,669,0,17,513,1522,0,450,1,3,2,7,1,13301.36,555.9756,1074,rtllm_t1_adder_pipe_64bit.v
1231,0,871,241,119,1241,1433,0,70,1,18,1,9,2,6455.22,282.3032,1187,rtllm_t1_alu.v
74,18,46,1,9,46,76,0,18,1,9,3,5,3,438.69,22.6428,547,rtllm_t1_calendar.v
51,18,30,0,3,23,53,0,36,1,9,3,5,3,348.65,18.1372,545,rtllm_t1_calender.v
12,4,4,2,2,12,15,0,4,1,4,3,4,1,49.14,2.9264,238,rtllm_t1_counter_12.v
6,3,0,0,3,9,9,0,3,1,4,3,5,1,36.32,2.1932,150,rtllm_t1_edge_detect.v
42,12,23,1,6,30,44,0,12,1,4,2,5,1,331.06,17.6124,421,rtllm_t1_freq_div.v
19,7,9,0,3,17,22,0,11,1,8,1,4,2,163.26,9.0768,302,rtllm_t1_fsm.v
27,6,17,0,4,29,191,0,135,1,11,5,7,2,130.68,6.4544,481,rtllm_t1_multi_16bit.v
1,1,0,0,0,9,55,0,37,1,5,3,6,1,20.62,1.0472,91,rtllm_t1_multi_booth_8bit.v
20,9,5,3,3,13,26,0,9,1,8,2,5,4,221.84,11.994,312,rtllm_t1_parallel2serial.v
3132,32,3094,1,5,3078,3326,0,32,1,2,1,5,1,19855.27,819.6704,1448,rtllm_t1_pe.v
14,5,7,0,2,14,18,0,7,1,12,1,4,3,112.36,6.3508,306,rtllm_t1_pulse_detect.v
8,8,0,0,0,3,10,0,8,1,1,0,3,1,131.22,7.5776,223,rtllm_t1_right_shifter.v
20,12,7,0,1,15,28,0,13,1,4,3,6,1,77.61,4.664,232,rtllm_t1_serial2parallel.v
43,7,29,2,5,36,45,0,7,1,6,2,3,1,199.82,10.9496,523,rtllm_t1_signal_generator.v
11,11,0,0,0,11,20,0,11,4,4,2,7,2,149.88,8.3192,84,rtllm_t1_synchronizer.v
5,4,0,0,1,13,29,0,24,1,15,5,7,3,49.41,2.736,77,rtllm_t1_traffic_light.v
2,1,0,0,1,7,29,0,41,1,7,3,6,2,23.64,1.2644,80,rtllm_t1_width_8to16.v
65,64,0,0,1,4,130,0,64,1,3,2,3,1,1401.65,67.168,74,rtllm_t2_JC_counter.v
75,25,47,0,3,48,100,0,25,1,4,3,6,1,554.85,28.11,559,rtllm_t2_accu.v
48,0,48,0,0,63,91,0,0,0,1,0,5,0,231.54,12.2656,595,rtllm_t2_adder_8bit.v
529,193,336,0,0,285,790,0,193,1,8,2,7,4,4009.28,181.6188,1028,rtllm_t2_adder_pipe_64bit.v
72,18,41,2,11,54,74,0,18,1,9,3,5,3,430.51,22.2284,558,rtllm_t2_calendar.v
51,18,30,0,3,23,53,0,18,1,9,3,5,3,348.65,18.1372,545,rtllm_t2_calender.v
12,4,4,2,2,12,15,0,4,1,4,3,4,1,49.14,2.9264,238,rtllm_t2_counter_12.v
6,3,0,0,3,9,9,0,3,1,4,3,5,1,36.32,2.1932,150,rtllm_t2_edge_detect.v
42,12,23,1,6,30,44,0,12,1,4,2,5,1,331.06,17.6124,421,rtllm_t2_freq_div.v
19,7,10,0,2,17,22,0,11,1,15,1,4,2,162.3,9.0568,310,rtllm_t2_fsm.v
477,70,317,49,41,385,577,0,103,1,12,5,7,3,2493.76,115.0644,923,rtllm_t2_multi_16bit.v
1,1,0,0,0,9,55,0,37,1,4,3,6,1,20.62,1.0472,91,rtllm_t2_multi_booth_8bit.v
19,9,4,3,3,12,25,0,9,1,3,2,5,1,218.29,11.8068,328,rtllm_t2_parallel2serial.v
3132,32,3094,1,5,3078,3326,0,32,1,2,1,5,1,19855.27,819.6704,1448,rtllm_t2_pe.v
17,6,9,2,0,16,20,0,4,1,13,2,4,1,127.69,7.1724,331,rtllm_t2_pulse_detect.v
8,8,0,0,0,3,10,0,8,1,1,0,3,1,131.22,7.5776,223,rtllm_t2_right_shifter.v
21,13,6,0,2,15,25,0,13,1,4,3,6,1,89.73,5.2712,242,rtllm_t2_serial2parallel.v
37,6,27,0,4,31,39,0,6,1,7,2,3,1,174.6,9.6964,424,rtllm_t2_signal_generator.v
11,11,0,0,0,11,20,0,13,4,4,2,7,2,149.88,8.3192,84,rtllm_t2_synchronizer.v
52,16,30,3,3,44,60,0,19,1,19,5,7,3,350.29,18.4544,534,rtllm_t2_traffic_light.v
41,25,16,0,0,23,52,0,25,1,5,3,6,1,186.84,10.4552,356,rtllm_t2_width_8to16.v
65,64,0,0,1,4,130,0,64,1,2,1,3,1,1401.65,67.168,74,rtllm_t3_JC_counter.v
61,14,44,0,3,46,93,0,14,1,4,2,6,1,307.14,16.1492,552,rtllm_t3_accu.v
56,0,50,0,6,86,121,0,0,0,1,0,5,0,251.17,13.0832,562,rtllm_t3_adder_8bit.v
1039,389,622,0,28,472,1170,0,645,1,3,2,7,1,12964.41,551.4008,1090,rtllm_t3_adder_pipe_64bit.v
354,148,89,102,15,230,407,0,50,4,7,2,10,4,4786.6,212.6588,807,rtllm_t3_asyn_fifo.v
74,18,46,1,9,46,76,0,18,1,9,3,5,3,438.69,22.6428,547,rtllm_t3_calendar.v
56,18,34,0,4,28,58,0,18,1,9,3,5,3,370.52,19.2032,538,rtllm_t3_calender.v
12,4,4,2,2,12,15,0,4,1,4,3,4,1,49.14,2.9264,238,rtllm_t3_counter_12.v
5,3,0,0,2,8,8,0,3,1,3,1,5,2,60.96,3.576,73,rtllm_t3_edge_detect.v
42,12,23,1,6,30,44,0,12,1,4,2,5,1,331.06,17.6124,421,rtllm_t3_freq_div.v
18,8,4,4,2,12,25,0,7,1,3,2,5,1,202.7,10.9396,334,rtllm_t3_parallel2serial.v
6556,64,6448,2,42,6438,6878,0,64,1,2,1,5,1,42719.53,1702.1432,1536,rtllm_t3_pe.v
17,6,10,0,1,16,20,0,3,1,13,2,4,1,137.22,7.7724,301,rtllm_t3_pulse_detect.v
18,7,8,0,3,25,70,0,48,2,9,2,9,1,130.35,6.7096,353,rtllm_t3_radix2_div.v
8,8,0,0,0,3,10,0,8,1,1,0,3,1,131.22,7.5776,223,rtllm_t3_right_shifter.v
55,13,28,6,8,47,64,0,13,1,4,3,6,1,238.74,12.916,533,rtllm_t3_serial2parallel.v
43,7,29,2,5,36,45,0,7,1,6,2,3,1,199.82,10.9496,523,rtllm_t3_signal_generator.v
11,11,0,0,0,11,20,0,11,4,4,2,7,2,149.88,8.3192,84,rtllm_t3_synchronizer.v
5,3,1,0,1,14,27,0,24,1,16,5,7,3,53.0,2.876,82,rtllm_t3_traffic_light.v
28,25,1,0,2,12,56,0,25,1,4,3,6,1,115.64,6.7616,150,rtllm_t3_width_8to16.v
65,64,0,0,1,4,130,0,64,1,3,2,3,1,1401.65,67.168,74,rtllm_t4_JC_counter.v
173,45,123,0,5,133,215,0,20,1,4,3,6,1,1551.13,73.3756,667,rtllm_t4_accu.v
1654,257,1328,0,69,1155,1787,0,258,1,3,2,7,1,13817.07,585.9688,1291,rtllm_t4_adder_pipe_64bit.v
1376,0,1011,239,126,1353,1545,0,70,0,17,0,9,1,7296.36,317.9472,1192,rtllm_t4_alu.v
74,18,46,1,9,46,76,0,18,1,9,3,5,3,438.69,22.6428,547,rtllm_t4_calendar.v
51,18,30,0,3,23,53,0,18,1,9,3,5,3,348.65,18.1372,545,rtllm_t4_calender.v
12,4,4,2,2,12,15,0,4,1,4,3,4,1,49.14,2.9264,238,rtllm_t4_counter_12.v
917,0,709,79,129,894,1030,0,89,0,2,1,4,1,4967.24,218.9624,1058,rtllm_t4_div_16bit.v
5,3,0,0,2,8,8,0,3,1,4,2,5,1,60.96,3.576,73,rtllm_t4_edge_detect.v
45,13,24,1,7,31,47,0,13,1,4,2,5,1,364.22,19.224,441,rtllm_t4_freq_div.v
18,7,7,1,3,15,27,0,11,1,12,1,4,2,134.51,7.4196,333,rtllm_t4_fsm.v
7,2,2,0,3,16,144,0,69,1,11,5,7,2,29.91,1.5604,256,rtllm_t4_multi_16bit.v
1,1,0,0,0,9,55,0,37,1,5,3,6,2,20.62,1.0472,91,rtllm_t4_multi_booth_8bit.v
10,4,4,0,2,12,24,0,7,1,3,2,5,1,99.21,5.442,247,rtllm_t4_parallel2serial.v
3132,32,3094,1,5,3079,3358,0,32,1,2,1,5,1,19865.76,819.6704,1449,rtllm_t4_pe.v
4,3,0,0,1,6,8,0,3,1,9,2,4,1,57.38,3.3588,73,rtllm_t4_pulse_detect.v
8,8,0,0,0,3,10,0,8,1,1,0,3,1,131.22,7.5776,223,rtllm_t4_right_shifter.v
22,13,7,0,2,15,38,0,12,1,4,3,6,1,112.49,6.3484,340,rtllm_t4_serial2parallel.v
43,7,29,2,5,36,45,0,7,1,7,2,3,1,199.82,10.9496,523,rtllm_t4_signal_generator.v
11,11,0,0,0,11,20,0,11,4,6,2,7,4,149.88,8.3192,84,rtllm_t4_synchronizer.v
29,26,1,0,2,11,40,0,26,1,4,3,6,1,117.05,7.0088,147,rtllm_t4_width_8to16.v
65,64,0,0,1,4,130,0,64,1,3,2,3,1,1401.65,67.168,74,rtllm_t5_JC_counter.v
229,0,229,0,0,222,675,0,0,0,1,0,0,0,1298.7,59.4088,938,rtllm_t5_adder_32bit.v
49,0,49,0,0,65,92,0,0,0,1,0,5,0,236.07,12.5128,595,rtllm_t5_adder_8bit.v
1279,257,996,0,26,782,1539,0,323,1,3,2,7,1,11782.63,499.9288,1164,rtllm_t5_adder_pipe_64bit.v
1259,0,907,230,122,1236,1428,0,70,0,19,0,9,1,6730.79,292.7948,1186,rtllm_t5_alu.v
72,18,41,2,11,54,74,0,18,1,9,3,5,3,430.51,22.2284,558,rtllm_t5_calendar.v
58,18,37,0,3,30,60,0,18,1,9,3,5,3,378.67,19.6176,531,rtllm_t5_calender.v
12,4,4,2,2,12,15,0,4,1,4,3,4,1,49.14,2.9264,238,rtllm_t5_counter_12.v
5,3,0,0,2,8,8,0,3,1,4,2,5,1,60.96,3.576,73,rtllm_t5_edge_detect.v
45,13,24,1,7,31,47,0,13,1,6,2,5,3,364.22,19.224,441,rtllm_t5_freq_div.v
18,7,9,0,2,16,21,0,11,1,15,1,4,2,155.99,8.7996,302,rtllm_t5_fsm.v
7,2,2,0,3,16,144,0,102,1,12,5,7,3,29.91,1.5604,256,rtllm_t5_multi_16bit.v
18,8,4,4,2,13,26,0,7,1,5,2,5,2,201.33,10.8396,334,rtllm_t5_parallel2serial.v
3132,32,3094,1,5,3079,3358,0,32,1,2,1,5,1,19865.76,819.6704,1449,rtllm_t5_pe.v
15,5,3,1,6,16,19,0,3,1,10,2,4,1,102.37,5.798,309,rtllm_t5_pulse_detect.v
8,8,0,0,0,3,10,0,8,1,1,0,3,1,131.22,7.5776,223,rtllm_t5_right_shifter.v
21,13,6,0,2,15,25,0,13,1,4,3,6,1,89.73,5.2712,242,rtllm_t5_serial2parallel.v
43,7,29,2,5,36,45,0,7,1,6,2,3,1,199.82,10.9496,523,rtllm_t5_signal_generator.v
11,11,0,0,0,11,20,0,11,4,4,2,7,2,149.88,8.3192,84,rtllm_t5_synchronizer.v
4,3,1,0,0,13,30,0,24,1,20,6,7,3,47.48,2.5588,85,rtllm_t5_traffic_light.v
78,18,45,3,12,65,89,0,16,1,15,5,7,3,586.6,29.8816,547,rtllm_traffic_light_verified_traffic_light.v
76,16,43,7,10,49,79,0,16,1,5,3,4,1,642.86,32.0172,541,rtllm_up_down_counter_verified_up_down_counter.v
29,26,1,0,2,11,40,0,26,1,9,2,6,4,133.09,7.8088,153,rtllm_width_8to16_verified_width_8to16.v
17,0,17,0,0,16,25,0,0,0,1,0,4,0,78.06,4.4224,441,test_adder.v
221,0,189,0,32,217,240,0,19,0,10,0,6,1,968.17,48.4412,789,test_alu_8bit.v
8,8,0,0,0,6,34,0,24,1,2,1,6,1,159.41,8.3776,88,test_blocking_seq_bug.v
16,16,0,0,0,6,27,0,16,2,3,1,5,2,313.57,16.7552,86,test_cdc_violation.v
16,7,7,0,2,12,23,0,8,1,8,2,4,3,99.22,5.5852,334,test_clean_fsm.v
99,18,66,0,15,72,102,0,18,1,5,4,5,1,711.2,35.6428,665,test_clock_divider.v
18,7,6,1,4,15,30,0,16,1,3,2,5,1,78.6,4.4896,352,test_counter_gray.v
257,82,158,0,17,180,278,0,40,1,4,2,8,1,2599.25,122.2204,775,test_fifo.v
4,4,0,0,0,4,10,0,4,0,2,1,4,1,51.03,2.9888,80,test_latch_bug.v
8,8,0,0,0,5,14,0,4,1,3,1,5,2,97.45,5.5776,82,test_multidriven_bug.v
23,0,15,0,8,16,32,0,12,0,1,0,4,1,85.34,4.8456,351,test_priority_encoder.v
52,8,42,0,2,45,67,0,8,1,7,1,8,1,182.78,10.8544,477,test_shift_register.v
